name,symbol,atomic_radius,atomic_weight,covalent_radius,density,dipole_polarizability,electrons,mass_number,neutrons,protons,vdw_radius,first_ionization,electronegativity allred-rochow,electronegativity gordy,zeff,atomic_radius_wikipedia
Zirconium,Zr,269.0,91.224,154.0,6.52,112.0,40,90,50,40,223.0,6.634126,0.00013282172373081457,0.020454545454545444,3.1499999999999986,206.0
Niobium,Nb,250.99999999999997,92.90637,147.0,8.57,98.0,41,93,52,41,218.00000000000003,6.75885,0.00012957563977972127,0.01904761904761903,2.799999999999997,198.0
Molybdenum,Mo,244.0,95.95,138.0,10.2,87.0,42,98,56,42,217.0,7.09243,0.00015490443184205014,0.02137681159420292,2.950000000000003,190.0
Technetium,Tc,252.0,97.90721,128.0,11.0,79.0,43,83,40,43,216.0,7.11938,0.0002197265625000001,0.02812500000000001,3.6000000000000014,183.0
Ruthenium,Ru,237.0,101.07,125.0,12.1,72.0,44,102,58,44,213.0,7.3605,0.000208,0.026,3.25,178.0
Rhodium,Rh,233.0,102.9055,125.0,12.4,66.0,45,103,58,45,210.0,7.4589,0.00021759999999999992,0.027199999999999988,3.3999999999999986,173.0
Palladium,Pd,215.0,106.42,120.0,12.0,26.14,46,106,60,46,210.0,8.336839,0.00047569444444444455,0.05708333333333335,6.850000000000001,169.0
Silver,Ag,225.0,107.8682,128.0,10.5,55.0,47,107,60,47,211.0,7.576234,0.00022583007812500017,0.028906250000000022,3.700000000000003,165.0
Cadmium,Cd,238.0,112.414,136.0,8.69,46.0,48,114,66,48,218.00000000000003,8.99382,0.00023518598615916963,0.03198529411764707,4.350000000000001,161.0
Indium,In,246.0,114.818,142.0,7.31,65.0,49,115,66,49,193.0,5.7863558,0.0002479666732791113,0.035211267605633804,5.0,156.0
Tin,Sn,248.0,118.71,140.0,7.287,53.0,50,120,70,50,217.0,7.343918,0.0002882653061224493,0.0403571428571429,5.650000000000006,145.0
Antimony,Sb,246.0,121.76,140.0,6.68,43.0,51,121,70,51,206.0,8.608389,0.00032142857142857163,0.04500000000000003,6.300000000000004,133.0
Tellurium,Te,242.0,127.6,136.0,6.232,38.0,52,130,78,52,206.0,9.009808,0.0003757569204152251,0.05110294117647061,6.950000000000003,123.0
Iodine,I,238.0,126.90447,133.0,4.933,32.9,53,127,74,53,198.0,10.451236,0.0004296455424274974,0.057142857142857155,7.600000000000001,115.0
Xenon,Xe,231.99999999999997,131.293,131.0,0.005365999999999999,27.32,54,132,78,54,216.0,12.1298437,0.0004807412155468796,0.06297709923664122,8.25,108.0
Cesium,Cs,249.00000000000003,132.90545196,231.99999999999997,1.873,400.9,55,133,78,55,343.0,3.89390572743,4.087395957193823e-05,0.009482758620689669,2.200000000000003,298.0
Barium,Ba,293.0,137.327,196.0,3.62,272.0,56,138,82,56,268.0,5.2116646,7.418783840066642e-05,0.01454081632653062,2.8500000000000014,253.0
Lanthanum,La,284.0,138.90547,180.0,6.15,215.0,57,139,82,57,243.00000000000003,5.5769,9.259259259259259e-05,0.016666666666666666,3.0,226.0
Cerium,Ce,282.0,140.116,163.0,6.77,205.0,58,140,82,58,242.0,5.5386,0.00011291354586171855,0.018404907975460124,3.0,210.0
Praseodymium,Pr,286.0,140.90766,176.0,6.773,216.0,59,141,82,59,240.0,5.4702,9.20067148760331e-05,0.016193181818181825,2.8500000000000014,247.0
Neodymium,Nd,284.0,144.242,174.0,7.01,208.0,60,142,82,60,239.0,5.525,9.413396749900916e-05,0.016379310344827595,2.8500000000000014,206.0
Promethium,Pm,283.0,144.91276,173.0,7.26,200.0,61,126,65,61,238.0,5.58187,9.522536670119287e-05,0.016473988439306367,2.8500000000000014,205.0
Samarium,Sm,280.0,150.36,172.0,7.52,192.0,62,152,90,62,236.0,5.643722,9.633585722011903e-05,0.016569767441860474,2.8500000000000014,238.0
Europium,Eu,280.0,151.964,168.0,5.24,184.0,63,153,90,63,235.0,5.670385,0.00010097789115646263,0.016964285714285723,2.8500000000000014,231.0
Gadolinium,Gd,277.0,157.25,169.0,7.9,158.0,64,158,94,64,234.0,6.1498,0.00010503833899373271,0.01775147928994083,3.0,233.0
Terbium,Tb,276.0,158.92535,168.0,8.23,170.0,65,159,94,65,233.0,5.8638,0.00010097789115646263,0.016964285714285723,2.8500000000000014,225.0
Dysprosium,Dy,275.0,162.5,167.0,8.55,163.0,66,164,98,66,231.0,5.939061,0.0001021908279249884,0.01706586826347306,2.8500000000000014,228.0
Holmium,Ho,273.0,164.93033,166.0,8.8,156.0,67,165,98,67,229.99999999999997,6.0215,0.00010342575119756164,0.017168674698795232,2.8500000000000085,226.0
Erbium,Er,272.0,167.259,165.0,9.07,150.0,68,166,98,68,229.0,6.1077,0.00010468319559228682,0.017272727272727325,2.8500000000000085,226.0
Thulium,Tm,271.0,168.93422,164.0,9.321,144.0,69,169,100,69,227.0,6.184402,0.00010596371207614547,0.01737804878048786,2.8500000000000085,222.0
Ytterbium,Yb,277.0,173.045,170.0,6.9,139.0,70,174,104,70,225.99999999999997,6.25416,9.86159169550176e-05,0.01676470588235299,2.8500000000000085,222.0
Lutetium,Lu,270.0,174.9668,162.0,9.84,137.0,71,175,104,71,224.00000000000003,5.425871,0.00011431184270690443,0.018518518518518517,3.0,217.0
Hafnium,Hf,264.0,178.49,152.0,13.3,103.0,72,180,108,72,223.0,6.82507,0.00013634002770083128,0.020723684210526352,3.1500000000000057,208.0
Tantalum,Ta,258.0,180.94788,146.0,16.4,74.0,73,181,108,73,222.00000000000003,7.549571,0.00015481328579470874,0.022602739726027474,3.3000000000000114,200.0
Tungsten,W,252.99999999999997,183.84,137.0,19.3,68.0,74,184,110,74,218.00000000000003,7.86403,0.00018381373541477984,0.025182481751824838,3.450000000000003,193.0
Rhenium,Re,249.00000000000003,186.207,131.0,20.8,62.0,75,187,112,75,216.0,7.83352,0.00020977798496591156,0.027480916030534416,3.6000000000000085,188.0
Osmium,Os,244.0,190.23,129.0,22.5872,57.0,76,192,116,76,216.0,8.43823,0.00022534703443302686,0.029069767441860465,3.75,185.0
Iridium,Ir,240.0,192.217,122.0,22.5622,54.0,77,193,116,77,213.0,8.96702,0.00026202633700618153,0.031967213114754145,3.9000000000000057,180.0
Platinum,Pt,229.99999999999997,195.084,123.0,21.5,48.0,78,195,117,78,213.0,8.95883,0.00023464868795029396,0.028861788617886155,3.549999999999997,177.0
Gold,Au,225.99999999999997,196.966569,124.0,19.3,36.0,79,197,118,79,214.0,9.225554,0.0002406347554630595,0.02983870967741938,3.700000000000003,174.0
Mercury,Hg,229.0,200.592,133.0,13.5336,33.91,80,202,122,80,223.0,10.437504,0.00024591554073152854,0.032706766917293295,4.3500000000000085,171.0
Thallium,Tl,242.0,204.38,144.0,11.8,50.0,81,205,124,81,196.0,6.1082873,0.00024112654320987653,0.034722222222222224,5.0,156.0
Lead,Pb,249.00000000000003,207.2,144.0,11.3,47.0,82,208,126,82,202.0,7.4166799,0.00027247299382716076,0.03923611111111115,5.650000000000006,154.0
Bismuth,Bi,250.0,208.9804,151.0,9.79,48.0,83,209,126,83,206.99999999999997,7.285516,0.00027630367089162745,0.04172185430463574,6.299999999999997,143.0
Polonium,Po,250.0,209.0,145.0,9.2,44.0,84,186,102,84,197.0,8.41807,0.0003305588585017837,0.04793103448275864,6.950000000000003,135.0
Astatine,At,247.00000000000003,210.0,147.0,7.0,42.0,85,191,106,85,202.0,9.31751,0.00035170530797352993,0.051700680272108904,7.6000000000000085,127.0
