1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z
14.595,13.689,12.46,13.827,12.645,13.204,15.635,13.537,12.701,14.378,14.629,12.888,12.804,13.06,14.119,14.374,11.716,13.286,12.487,14.19,14.35,11.976,11.824,14.499,11.414,11.306,13.139,12.601,11.106,14.974,11.115,12.144,15.154,12.349,12.07,12.192,11.594,10.199,12.952,10.346,11.534,12.882,11.847,13.257,11.385,12.894,11.381,11.49,12.823,14.041,10.955,10.769,13.394,11.279,14.294,13.571,11.092,12.563,14.963,10.468,14.458,12.591,10.667,14.891,14.342,10.49
14.618,13.719,12.367,13.75,12.707,13.159,15.594,13.451,12.636,14.462,14.692,12.714,12.798,13.054,14.236,14.382,11.875,13.457,12.507,14.167,14.665,11.846,11.856,14.493,11.458,11.27,13.096,12.238,11.164,15.182,11.009,12.306,15.1,12.449,12.12,12.177,11.747,10.211,12.943,10.42,11.54,12.808,11.875,13.28,11.394,12.812,11.433,11.466,12.815,13.929,10.758,10.874,13.608,11.484,14.301,13.55,11.05,12.619,14.903,10.358,14.48,12.507,10.758,14.934,14.144,10.373
14.576,13.704,12.447,13.743,12.601,13.113,15.617,13.55,12.738,14.228,14.689,12.856,12.78,13.046,14.165,14.301,11.685,13.337,12.507,14.186,14.453,11.943,11.85,14.54,11.43,11.382,13.159,12.532,11.015,14.966,11.125,12.129,15.191,12.385,12.02,12.148,11.376,10.258,13.061,10.47,11.795,13.005,11.884,13.202,11.387,12.747,11.169,11.537,12.835,13.998,10.926,10.818,13.371,11.452,14.335,13.664,11.056,12.617,14.924,10.448,14.419,12.665,10.659,14.889,14.456,10.471
14.536,13.68,12.307,13.644,12.637,13.154,15.555,13.492,12.578,14.276,14.699,12.678,12.768,13.076,14.31,14.252,11.831,13.708,12.601,14.165,14.887,11.747,11.896,14.47,11.477,11.424,13.08,12.108,11.097,15.188,10.863,12.28,14.942,12.618,12.075,12.194,11.432,10.347,12.993,10.537,11.805,12.742,11.976,13.048,11.252,12.988,11.333,11.466,12.799,14.001,10.792,10.891,13.253,11.361,14.251,13.65,10.949,12.43,14.84,10.148,14.585,12.791,10.442,14.769,14.506,10.438
14.513,13.714,12.444,13.738,12.583,13.128,15.591,13.59,12.648,14.245,14.652,12.935,12.771,13.052,14.226,14.403,11.753,13.399,12.577,14.156,14.65,11.829,11.939,14.526,11.451,11.405,13.129,12.284,11.11,15.075,10.926,12.261,15.107,12.464,11.952,12.117,11.435,10.289,13.062,10.506,11.779,12.867,11.937,13.161,11.377,12.761,11.197,11.401,12.81,13.974,10.832,10.873,13.372,11.45,14.326,13.717,10.966,12.638,14.953,10.461,14.628,12.869,10.443,14.847,14.602,10.485
14.48,13.773,12.301,13.54,12.726,13.087,15.314,13.163,11.995,14.924,14.43,13.051,12.937,12.905,14.458,13.966,11.754,13.037,12.81,13.865,15.171,11.882,11.809,14.482,11.305,11.714,13.073,12.299,10.871,14.783,11.039,12.027,15.11,12.086,12.792,12.368,11.468,10.745,12.614,10.269,11.95,13.097,12.273,12.52,10.889,11.559,13.731,12.547,13.27,13.231,10.34,11.954,11.542,10.441,13.835,14.317,11.225,13.734,13.028,9.375,13.054,14.959,11.529,14.445,14.829,10.547
14.57,13.625,12.457,13.511,12.57,13.033,15.494,13.288,12.814,14.321,14.558,12.972,12.697,13.0,14.264,14.156,11.789,13.412,12.388,14.137,14.471,12.045,11.69,14.643,11.501,11.557,13.23,12.822,10.964,14.884,11.413,11.636,15.524,12.525,12.133,12.248,11.313,10.518,13.064,10.521,12.087,13.242,11.998,13.239,11.38,12.899,11.248,11.672,12.83,14.068,10.721,10.918,13.474,11.378,14.352,13.632,10.947,12.534,15.008,10.387,14.462,12.582,10.603,14.936,14.275,10.322
14.56,13.708,12.369,13.68,12.637,13.088,15.643,13.44,12.556,14.516,14.71,12.694,12.766,13.109,14.241,14.304,11.828,13.51,12.614,14.135,14.757,11.812,11.852,14.432,11.348,11.497,13.059,12.47,11.049,14.694,11.083,12.034,15.271,12.617,11.951,12.294,11.167,10.454,12.929,10.494,12.157,12.806,11.999,13.093,11.394,12.861,11.188,11.548,12.789,13.934,10.727,10.97,13.06,11.316,14.231,13.737,11.033,12.395,14.791,10.216,14.538,12.762,10.571,14.746,14.509,10.462
14.507,13.788,12.415,13.567,12.711,12.977,15.441,13.329,12.095,14.773,14.405,13.257,12.939,12.883,14.275,14.031,11.701,12.835,12.932,13.908,14.923,11.85,11.821,14.531,11.255,11.681,13.14,12.286,10.868,14.85,11.111,12.096,15.268,12.058,12.703,12.365,11.367,10.721,12.666,10.17,11.869,13.202,12.322,12.45,10.923,11.57,13.736,12.356,13.204,13.348,10.44,12.055,11.546,10.394,13.784,14.362,11.406,13.51,13.297,9.381,13.0,14.968,11.851,14.367,15.066,10.799
14.502,13.757,12.398,13.69,12.615,13.153,15.542,13.79,12.566,13.932,14.652,12.742,12.759,13.102,14.231,14.222,11.739,13.599,12.705,14.164,14.799,11.661,11.997,14.439,11.606,11.22,13.093,11.913,11.322,15.216,10.682,12.456,14.593,12.495,12.058,12.12,12.199,10.382,13.156,10.623,11.121,12.718,11.903,13.213,11.379,13.005,11.349,11.391,12.799,13.928,10.784,10.88,13.497,11.583,14.296,13.599,10.998,12.459,14.831,10.236,14.34,12.577,10.601,14.921,14.185,10.306
